iter	Passed	Remaining
240	569	1793
241	575	1802
242	576	1795
243	577	1788
244	578	1781
245	579	1774
246	579	1768
247	580	1761
248	582	1755
249	582	1748
250	583	1742
251	584	1735
252	592	1749
253	593	1744
254	595	1739
255	596	1734
256	612	1771
257	613	1765
258	615	1760
259	616	1754
260	622	1763
261	624	1757
262	625	1753
263	627	1748
264	628	1743
265	629	1737
266	631	1732
267	640	1750
268	642	1745
269	643	1740
270	644	1734
271	645	1728
272	647	1723
273	654	1735
274	656	1729
275	657	1724
276	658	1718
277	659	1712
278	660	1706
279	661	1701
280	662	1695
281	670	1706
282	671	1702
283	672	1696
284	674	1691
285	675	1685
286	676	1681
287	678	1676
288	687	1690
289	689	1686
290	690	1681
291	691	1676
292	692	1670
293	693	1665
294	700	1674
295	701	1669
296	702	1663
297	704	1658
298	705	1654
299	706	1649
300	707	1643
301	708	1638
302	717	1651
303	718	1645
304	719	1639
305	720	1633
306	720	1627
307	721	1621
308	722	1615
309	723	1609
310	723	1603
311	724	1597
312	734	1611
313	736	1608
314	738	1605
315	739	1600
316	740	1595
317	749	1607
318	750	1602
319	751	1597
320	753	1593
321	754	1587
322	754	1582
323	755	1576
324	763	1586
325	764	1580
326	765	1575
327	766	1569
328	767	1564
329	767	1559
330	768	1553
331	769	1548
332	770	1543
333	778	1551
334	779	1546
335	780	1541
336	780	1536
337	781	1531
338	782	1525
339	783	1520
340	784	1515
341	785	1511
342	786	1507
343	788	1502
344	789	1498
345	790	1493
346	791	1489
347	800	1498
348	801	1495
349	803	1492
350	805	1488
351	806	1484
352	807	1479
353	815	1489
354	816	1484
355	817	1479
356	818	1474
357	819	1469
358	820	1465
359	821	1460
360	822	1455
361	823	1451
362	825	1447
363	826	1443
364	827	1439
365	828	1435
366	829	1430
367	830	1426
368	839	1436
369	841	1432
370	842	1427
371	843	1423
372	844	1419
373	845	1415
374	847	1411
375	853	1416
376	856	1414
377	857	1410
378	858	1406
379	859	1403
380	861	1399
381	862	1395
382	870	1401
383	871	1397
384	872	1393
385	873	1389
386	874	1385
387	876	1381
388	877	1377
389	878	1373
390	888	1383
391	889	1379
392	892	1377
393	893	1373
394	894	1369
395	902	1377
396	904	1373
397	905	1369
398	906	1365
399	907	1361
400	908	1357
401	910	1353
402	918	1360
403	919	1355
404	919	1351
405	920	1347
406	921	1343
407	923	1339
408	923	1335
409	924	1330
410	925	1326
411	933	1332
412	934	1328
413	935	1324
414	936	1320
415	937	1316
416	938	1312
417	939	1307
418	940	1303
419	941	1299
420	947	1303
421	950	1301
422	951	1298
423	953	1294
424	954	1291
425	955	1287
426	956	1283
427	964	1288
428	965	1284
429	966	1280
430	967	1277
431	968	1273
432	969	1269
433	970	1265
434	971	1261
435	971	1257
436	978	1261
437	980	1257
438	982	1256
439	983	1252
440	984	1247
441	985	1244
442	986	1240
443	987	1236
444	987	1232
445	997	1238
446	998	1235
447	1000	1232
448	1001	1229
449	1002	1225
450	1003	1221
451	1005	1219
452	1006	1215
453	1008	1213
